Type,Side1,Unum1,Time1,Mode1,X1,Y1,Side2,Unum2,Time2,X2,Y2,Success
Pass,left,11,3,kick_off_l,0,0,left,8,11,-10.352,7.0441,true
Dribble,left,8,11,play_on,-10.352,7.0441,left,8,16,-7.1372,8.0794,true
Dribble,left,8,18,play_on,-7.1033,8.1376,left,8,20,-6.6261,8.7179,true
Pass,left,8,25,play_on,-7.6379,7.8472,left,6,32,-13.4292,6.5911,true
Pass,left,6,34,play_on,-13.0798,6.1089,left,5,47,-4.4796,30.6469,true
Pass,left,5,48,play_on,-3.4386,30.1712,left,10,58,17.5781,28.5057,true
Dribble,left,10,58,play_on,17.5781,28.5057,left,10,81,40.4014,26.7868,true
Dribble,left,10,81,play_on,40.4014,26.7868,left,10,90,48.4556,24.6057,true
Dribble,left,10,90,play_on,48.4556,24.6057,left,10,95,51.1779,24.8893,true
Pass,left,10,96,play_on,50.5792,24.5804,left,11,101,45.0062,15.977,true
Pass,left,11,101,play_on,45.0062,15.977,left,9,104,43.5324,7.4054,true
Dribble,left,9,106,play_on,44.6324,6.8212,left,9,109,44.4293,7.295,true
Pass,left,9,110,play_on,43.9598,6.651,left,4,127,36.2693,-15.0782,true
Dribble,left,4,127,play_on,36.2693,-15.0782,left,4,129,37.3776,-14.8762,true
Pass,left,4,131,play_on,37.816,-15.0988,left,9,134,41.7618,-8.3885,true
Pass,left,9,134,play_on,41.7618,-8.3885,left,11,137,41.2256,-2.839,true
Interception,left,11,139,play_on,41.7418,-2.4634,right,3,140,44.7797,-2.4446,true
Pass,right,3,140,play_on,44.7797,-2.4446,right,5,151,52.3857,-7.911,true
Interception,right,5,155,play_on,52.2714,-7.375,left,11,156,50.5318,-7.17,true
Interception,left,11,156,play_on,50.5318,-7.17,right,10,164,37.8166,-12.4996,true
Pass,right,10,167,play_on,37.8839,-11.8437,right,11,173,23.5457,-6.0894,true
Dribble,right,11,173,play_on,23.5457,-6.0894,right,11,178,22.0576,-5.9728,true
Dribble,right,11,178,play_on,22.0576,-5.9728,right,11,184,19.6272,-2.6534,true
Dribble,right,11,184,play_on,19.6272,-2.6534,right,11,190,16.0236,-2.6999,true
Dribble,right,11,190,play_on,16.0236,-2.6999,right,11,192,14.435,-2.7401,true
Dribble,right,11,192,play_on,14.435,-2.7401,right,11,195,12.5168,-3.2992,true
Dribble,right,11,195,play_on,12.5168,-3.2992,right,11,201,9.2709,-0.5485,true
Dribble,right,11,201,play_on,9.2709,-0.5485,right,11,206,6.9672,-0.9654,true
Dribble,right,11,207,play_on,7.5173,-1.5342,right,11,209,5.9723,-2.2849,true
Pass,right,11,209,play_on,5.9723,-2.2849,right,10,216,1.5167,-16.4282,true
Dribble,right,10,216,play_on,1.5167,-16.4282,right,10,223,-2.1453,-19.2742,true
Interception,right,10,223,play_on,-2.1453,-19.2742,left,7,227,-2.6719,-20.564,true
OutOfBounds,left,7,227,play_on,-2.6719,-20.564,neutral,-1,234,1.4611,-34,false
Pass,right,5,295,kick_in_r,1.4611,-34,right,8,299,-5.8775,-30.5514,true
Dribble,right,8,299,play_on,-5.8775,-30.5514,right,8,305,-8.8609,-31.3665,true
Interception,right,8,305,play_on,-8.8609,-31.3665,left,9,310,-12.2717,-32.1812,true
Interception,left,9,310,play_on,-12.2717,-32.1812,right,8,325,-10.8543,-31.7927,true
Pass,right,8,325,free_kick_r,-10.8543,-31.7927,right,10,329,-20.7099,-32.1171,true
Dribble,right,10,330,play_on,-20.4697,-31.5513,right,10,335,-20.1829,-29.4261,true
Pass,right,10,335,play_on,-20.1829,-29.4261,right,6,344,-12.2361,-16.3544,true
MultiTouch,right,6,344,play_on,-12.2361,-16.3544,neutral,-1,348,-13.3835,-15.2648,false
Interception,left,11,350,play_on,-12.7187,-14.4213,right,6,351,-13.1059,-14.0331,true
Pass,right,6,351,play_on,-13.1059,-14.0331,right,2,365,-5.1543,-5.1267,true
Dribble,right,2,365,play_on,-5.1543,-5.1267,right,2,370,-6.4431,-2.4115,true
Pass,right,2,370,play_on,-6.4431,-2.4115,right,7,373,-12.7089,0.2095,true
Pass,right,7,374,play_on,-12.5764,0.3461,right,2,378,-5.0791,-0.3154,true
Interception,right,2,378,play_on,-5.0791,-0.3154,left,11,381,-6.1169,0.3138,true
Pass,left,11,381,play_on,-6.1169,0.3138,left,5,393,-14.3846,18.9619,true
Pass,left,5,393,play_on,-14.3846,18.9619,left,10,398,-7.9803,23.198,true
Dribble,left,10,398,play_on,-7.9803,23.198,left,10,402,-5.6397,22.1687,true
Dribble,left,10,403,play_on,-4.8611,22.0709,left,10,409,-1.2909,23.4577,true
Pass,left,10,409,play_on,-1.2909,23.4577,left,8,415,-3.0773,15.1799,true
Dribble,left,8,417,play_on,-2.3582,14.6724,left,8,420,-1.8044,13.5368,true
Dribble,left,8,420,play_on,-1.8044,13.5368,left,8,422,-1.3641,14.407,true
Pass,left,8,424,play_on,-1.378,13.1939,left,7,431,0.4532,-0.2832,true
Dribble,left,7,431,play_on,0.4532,-0.2832,left,7,434,1.7623,-0.517,true
Dribble,left,7,436,play_on,1.8653,-0.9949,left,7,438,2.7267,-0.3806,true
Pass,left,7,439,play_on,3.1155,-0.3947,left,11,443,6.6447,3.9832,true
Dribble,left,11,443,play_on,6.6447,3.9832,left,11,448,7.7506,5.6778,true
Pass,left,11,448,play_on,7.7506,5.6778,left,8,452,7.4991,14.9148,true
Dribble,left,8,453,play_on,6.8033,14.9188,left,8,456,8.6984,14.7962,true
Pass,left,8,456,play_on,8.6984,14.7962,left,10,467,30.2618,25.4033,true
Dribble,left,10,467,play_on,30.2618,25.4033,left,10,483,44.6218,20.7572,true
Dribble,left,10,483,play_on,44.6218,20.7572,left,10,490,46.0087,16.5288,true
Pass,left,10,491,play_on,46.224,16.3524,left,9,495,43.7974,8.8142,true
Shoot,left,9,496,play_on,44.5744,7.9396,neutral,-1,502,53.6614,-5.3823,true
Interception,left,9,496,play_on,44.5744,7.9396,right,11,505,0,0,true
Pass,right,11,505,kick_off_r,0,0,right,6,508,5.2928,1.573,true
Pass,right,6,508,play_on,5.2928,1.573,right,11,511,0.226,0.7711,true
MultiTouch,right,11,511,play_on,0.226,0.7711,neutral,-1,516,-2.8295,2.5488,false
Pass,left,11,518,play_on,-3.886,1.3291,left,7,523,-5.4374,-6.5781,true
Pass,left,7,523,play_on,-5.4374,-6.5781,left,9,532,2.304,-22.0364,true
Pass,left,9,533,play_on,2.3436,-21.0949,left,7,537,-0.6084,-12.9317,true
Pass,left,7,537,play_on,-0.6084,-12.9317,left,9,546,10.3152,-26.769,true
Dribble,left,9,546,play_on,10.3152,-26.769,left,9,554,16.8571,-29.5008,true
Dribble,left,9,554,play_on,16.8571,-29.5008,left,9,578,37.8917,-26.8185,true
Dribble,left,9,578,play_on,37.8917,-26.8185,left,9,586,43.4807,-25.1256,true
Dribble,left,9,586,play_on,43.4807,-25.1256,left,9,593,48.4194,-23.574,true
Dribble,left,9,594,play_on,49.2281,-23.5898,left,9,600,45.7129,-23.2556,true
Dribble,left,9,600,play_on,45.7129,-23.2556,left,9,608,40.7361,-22.218,true
Pass,left,9,608,play_on,40.7361,-22.218,left,4,617,33.3573,-29.2573,true
Dribble,left,4,617,play_on,33.3573,-29.2573,left,4,619,33.7755,-28.6045,true
Pass,left,4,619,play_on,33.7755,-28.6045,left,9,622,36.9802,-25.2822,true
Pass,left,9,622,play_on,36.9802,-25.2822,left,4,625,33.7549,-28.4637,true
Pass,left,4,626,play_on,33.6161,-28.5907,left,9,633,43.1482,-28.372,true
Dribble,left,9,633,play_on,43.1482,-28.372,left,9,642,49.5659,-29.7285,true
Dribble,left,9,646,play_on,48.7371,-30.6981,left,9,648,49.2596,-31.6989,true
Pass,left,9,650,play_on,49.2399,-31.44,left,4,662,32.8493,-30.1238,true
Pass,left,4,663,play_on,32.5551,-28.9501,left,7,668,31.7503,-16.3956,true
Pass,left,7,668,play_on,31.7503,-16.3956,left,8,674,26.636,-2.6185,true
MultiTouch,left,8,674,play_on,26.636,-2.6185,neutral,-1,681,30.9464,-1.549,false
Pass,right,4,689,play_on,37.5473,6.6498,right,11,697,20.6292,4.2187,true
Pass,right,11,697,play_on,20.6292,4.2187,right,9,703,16.43,12.1385,true
Dribble,right,9,703,play_on,16.43,12.1385,right,9,710,12.0122,10.5765,true
Pass,right,9,710,play_on,12.0122,10.5765,right,11,715,8.3054,8.0666,true
Dribble,right,11,715,play_on,8.3054,8.0666,right,11,721,3.5132,8.6306,true
Pass,right,11,721,play_on,3.5132,8.6306,right,9,726,1.4327,14.0606,true
Pass,right,9,726,play_on,1.4327,14.0606,right,11,730,-2.9128,9.3694,true
Dribble,right,11,730,play_on,-2.9128,9.3694,right,11,732,-4.6391,9.1533,true
Dribble,right,11,732,play_on,-4.6391,9.1533,right,11,735,-5.3019,7.7295,true
Interception,right,11,735,play_on,-5.3019,7.7295,left,6,738,-5.1141,6.4587,true
Interception,left,6,738,play_on,-5.1141,6.4587,right,5,754,7.6174,-12.101,true
Pass,right,5,754,play_on,7.6174,-12.101,right,10,760,-4.8376,-8.9465,true
Interception,right,10,761,play_on,-4.5666,-8.8368,left,7,765,-5.6362,-7.8837,true
Interception,left,7,765,play_on,-5.6362,-7.8837,right,7,775,1.8165,4.6293,true
Pass,right,7,776,play_on,1.4589,4.7179,right,9,781,-7.7017,11.7535,true
Dribble,right,9,781,play_on,-7.7017,11.7535,right,9,785,-9.9215,10.975,true
Dribble,right,9,785,play_on,-9.9215,10.975,right,9,788,-12.0439,10.7755,true
Dribble,right,9,788,play_on,-12.0439,10.7755,right,9,793,-15.5259,10.4233,true
Pass,right,9,793,play_on,-15.5259,10.4233,right,11,795,-15.8999,6.1885,true
Pass,right,11,795,play_on,-15.8999,6.1885,right,10,799,-18.4757,-2.8914,true
Dribble,right,10,799,play_on,-18.4757,-2.8914,right,10,803,-17.9988,-0.6612,true
Pass,right,10,803,play_on,-17.9988,-0.6612,right,11,806,-20.6371,3.1206,true
Pass,right,11,807,play_on,-20.3259,2.6165,right,10,811,-18.2724,-0.4062,true
Pass,right,10,811,play_on,-18.2724,-0.4062,right,8,818,-11.1226,-10.2886,true
Pass,right,8,818,play_on,-11.1226,-10.2886,right,10,822,-16.9094,-2.7927,true
Interception,right,10,825,play_on,-17.0682,-2.1703,left,7,830,-16.9654,0.104,true
Pass,left,7,830,play_on,-16.9654,0.104,left,10,838,-16.8146,16.776,true
Pass,left,10,838,play_on,-16.8146,16.776,left,5,843,-23.2268,20.6431,true
Dribble,left,5,843,play_on,-23.2268,20.6431,left,5,849,-21.3561,23.5996,true
Pass,left,5,849,play_on,-21.3561,23.5996,left,10,853,-11.9976,21.4098,true
Pass,left,10,853,play_on,-11.9976,21.4098,left,8,857,-13.9282,15.3109,true
Pass,left,8,858,play_on,-13.0326,14.269,left,11,864,-4.4459,2.9055,true
Pass,left,11,868,play_on,-4.0477,2.0882,left,7,873,-4.2548,-6.2725,true
Dribble,left,7,873,play_on,-4.2548,-6.2725,left,7,876,-3.1182,-6.7255,true
Dribble,left,7,876,play_on,-3.1182,-6.7255,left,7,881,-2.1678,-9.7096,true
Dribble,left,7,881,play_on,-2.1678,-9.7096,left,7,886,0.0355,-10.7243,true
Dribble,left,7,886,play_on,0.0355,-10.7243,left,7,891,1.743,-13.3326,true
Dribble,left,7,891,play_on,1.743,-13.3326,left,7,896,3.7654,-15.7442,true
Dribble,left,7,896,play_on,3.7654,-15.7442,left,7,901,6.0469,-17.974,true
Dribble,left,7,901,play_on,6.0469,-17.974,left,7,907,8.8761,-21.5717,true
Pass,left,7,907,play_on,8.8761,-21.5717,left,9,915,23.8687,-24.4531,true
Dribble,left,9,916,play_on,25.3668,-24.0701,left,9,930,37.2994,-24.3583,true
Dribble,left,9,930,play_on,37.2994,-24.3583,left,9,938,43.7568,-23.4133,true
Dribble,left,9,938,play_on,43.7568,-23.4133,left,9,947,48.3144,-20.1857,true
Pass,left,9,948,play_on,47.7879,-19.1476,left,11,953,38.0847,-10.6192,true
Pass,left,11,955,play_on,38.3382,-10.3986,left,10,958,42.6688,-5.0026,true
Interception,left,10,959,play_on,41.9587,-4.2386,right,9,986,27.9854,23.8369,true
Dribble,right,9,986,play_on,27.9854,23.8369,right,9,993,27.3403,28.6232,true
Dribble,right,9,993,play_on,27.3403,28.6232,right,9,999,23.9009,30.3768,true
Dribble,right,9,999,play_on,23.9009,30.3768,right,9,1005,19.6846,30.0007,true
Dribble,right,9,1005,play_on,19.6846,30.0007,right,9,1010,15.4569,29.4525,true
Dribble,right,9,1010,play_on,15.4569,29.4525,right,9,1017,9.963,29.1786,true
Dribble,right,9,1017,play_on,9.963,29.1786,right,9,1023,5.6925,28.9719,true
Dribble,right,9,1023,play_on,5.6925,28.9719,right,9,1027,2.3801,28.7743,true
Dribble,right,9,1027,play_on,2.3801,28.7743,right,9,1033,-1.5641,29.5321,true
Dribble,right,9,1033,play_on,-1.5641,29.5321,right,9,1036,-3.4693,29.8295,true
Dribble,right,9,1036,play_on,-3.4693,29.8295,right,9,1038,-4.4306,29.8701,true
Dribble,right,9,1038,play_on,-4.4306,29.8701,right,9,1040,-5.3416,29.9706,true
Dribble,right,9,1040,play_on,-5.3416,29.9706,right,9,1042,-6.2161,30.0408,true
Dribble,right,9,1042,play_on,-6.2161,30.0408,right,9,1044,-6.9729,30.201,true
Pass,right,9,1044,play_on,-6.9729,30.201,right,11,1051,-11.6362,17.5752,true
Dribble,right,11,1051,play_on,-11.6362,17.5752,right,11,1056,-13.4014,20.5829,true
Dribble,right,11,1056,play_on,-13.4014,20.5829,right,11,1063,-16.4966,25.4291,true
Dribble,right,11,1063,play_on,-16.4966,25.4291,right,11,1072,-22.5283,29.034,true
Dribble,right,11,1072,play_on,-22.5283,29.034,right,11,1083,-31.4562,30.0695,true
Dribble,right,11,1085,play_on,-31.9676,29.9109,right,11,1090,-34.8474,32.0381,true
Dribble,right,11,1090,play_on,-34.8474,32.0381,right,11,1095,-37.3567,32.4322,true
Dribble,right,11,1095,play_on,-37.3567,32.4322,right,11,1100,-34.5811,30.7613,true
Dribble,right,11,1100,play_on,-34.5811,30.7613,right,11,1105,-34.0785,32.3949,true
Dribble,right,11,1105,play_on,-34.0785,32.3949,right,11,1108,-32.5387,32.1559,true
Dribble,right,11,1108,play_on,-32.5387,32.1559,right,11,1110,-31.6524,32.3056,true
Dribble,right,11,1110,play_on,-31.6524,32.3056,right,11,1114,-30.4471,31.6021,true
Dribble,right,11,1115,play_on,-29.9858,31.3948,right,11,1120,-28.0106,32.6414,true
Dribble,right,11,1120,play_on,-28.0106,32.6414,right,11,1123,-27.175,31.6485,true
Dribble,right,11,1123,play_on,-27.175,31.6485,right,11,1130,-30.9446,32.8668,true
