id,player_speed_max,stamina_inc_max,player_decay,inertia_moment,dash_power_rate,player_size,kickable_margin,kick_rand,extra_stamina,effort_max,effort_min,kick_power_rate,foul_detect_probability,catchable_area_l_stretch
0,1.05,45,0.4,5,0.006,0.3,0.7,0.1,50,1,0.6,0.027,0.5,1
1,1.05,48.5565,0.370145,4.25363,0.00540725,0.3,0.689085,0.0890852,79.5662,0.881735,0.481735,0.027,0.5,1.22054
2,1.05,46.9807,0.353604,3.84011,0.00566988,0.3,0.638184,0.0381836,78.2411,0.887036,0.487036,0.027,0.5,1.26915
3,1.05,47.2298,0.416745,5.41861,0.00562836,0.3,0.753993,0.153993,55.828,0.976688,0.576688,0.027,0.5,1.29092
4,1.05,49.4297,0.480359,7.00899,0.00526172,0.3,0.791477,0.191477,72.1454,0.911418,0.511418,0.027,0.5,1.08622
5,1.05,48.4496,0.47392,6.84799,0.00542507,0.3,0.758319,0.158319,68.932,0.924272,0.524272,0.027,0.5,1.24027
6,1.05,43.1027,0.471809,6.79522,0.00631622,0.3,0.602798,0.00279832,81.0044,0.875982,0.475982,0.027,0.5,1.24568
7,1.05,44.4462,0.386679,4.66699,0.00609229,0.3,0.768615,0.168615,61.5255,0.953898,0.553898,0.027,0.5,1.0073
8,1.05,47.2283,0.326169,3.15423,0.00562861,0.3,0.733207,0.133207,62.798,0.948808,0.548808,0.027,0.5,1.27329
9,1.05,50.4526,0.484577,7.11443,0.00509123,0.3,0.634013,0.0340132,77.4442,0.890223,0.490223,0.027,0.5,1.11084
10,1.05,51.5264,0.433582,5.83954,0.00491227,0.3,0.665661,0.0656608,70.337,0.918652,0.518652,0.027,0.5,1.13036
11,1.05,43.142,0.30581,2.64525,0.00630967,0.3,0.604979,0.004979,83.1372,0.867451,0.467451,0.027,0.5,1.05195
12,1.05,43.9552,0.300231,2.50578,0.00617413,0.3,0.775828,0.175828,76.9659,0.892136,0.492136,0.027,0.5,1.16757
13,1.05,45.9773,0.359804,3.99511,0.00583711,0.3,0.601634,0.00163384,76.5102,0.893959,0.493959,0.027,0.5,1.11145
14,1.05,46.6924,0.442373,6.05933,0.00571794,0.3,0.71611,0.11611,59.1989,0.963205,0.563205,0.027,0.5,1.2629
15,1.05,42.0225,0.353595,3.83988,0.00649625,0.3,0.749802,0.149802,67.0957,0.931617,0.531617,0.027,0.5,1.23525
16,1.05,40.8864,0.307964,2.6991,0.0066856,0.3,0.645978,0.0459777,79.2167,0.883133,0.483133,0.027,0.5,1.20022
17,1.05,47.3402,0.405186,5.12964,0.00560997,0.3,0.677464,0.0774637,92.0361,0.831856,0.431856,0.027,0.5,1.02938
